view_punch_decay                                                                 : 18               : sv, cl, rep, cheat, release      : Decay factor exponent for view punch
viewmodel_always_on                                                              : false            : cl, cheat                        : Force the view model to draw, even when in 3rd person
viewmodel_fov                                                                    : 60               : cl, a                            : Viewmodel FOV
viewmodel_offset_randomize                                                       : false            : cl, cheat                        : randomly change viewmodel offsets to visualize range
viewmodel_offset_x                                                               : 1                : cl, a                            : viewmodel_offset_x
viewmodel_offset_y                                                               : 1                : cl, a                            : viewmodel_offset_y
viewmodel_offset_z                                                               : -1               : cl, a                            : viewmodel_offset_z
viewmodel_presetpos                                                              : 1                : cl, a                            : 1:'Desktop', 2:'Couch', 3:'Classic' 
voice_modenable                                                                  : true             : cl, a, release, clientcmd_can_execute : Enable/disable voice in this mod.
voice_modenable_toggle                                                           : cmd              : cl, release                      : Toggle the voice_modenable convar.
voice_threshold                                                                  : 4000             : cl, a                            : 
voice_vox                                                                        : 0                : cl, a, per_user                  : Voice chat uses a vox-style always on
