vconsole_rcon_server_details                                                     : 0                : norecord, release, server_cant_query : when non-empty allows for easy vconsole connection to the dedicated server.
view_punch_decay                                                                 : 18               : sv, cl, rep, cheat, release      : Decay factor exponent for view punch
viewmodel_always_on                                                              : false            : cl, cheat                        : Force the view model to draw, even when in 3rd person
viewmodel_fov                                                                    : 60               : cl, a                            : Viewmodel FOV
viewmodel_offset_randomize                                                       : false            : cl, cheat                        : randomly change viewmodel offsets to visualize range
viewmodel_offset_x                                                               : 1                : cl, a                            : viewmodel_offset_x
viewmodel_offset_y                                                               : 1                : cl, a                            : viewmodel_offset_y
viewmodel_offset_z                                                               : -1               : cl, a                            : viewmodel_offset_z
viewmodel_presetpos                                                              : 1                : cl, a                            : 1:'Desktop', 2:'Couch', 3:'Classic' 
violence_ablood                                                                  : true             : a                                : Draw alien blood
violence_agibs                                                                   : true             : a                                : Show alien gib entities
violence_hblood                                                                  : true             : a                                : Draw human blood
violence_hgibs                                                                   : true             : a                                : Show human gib entities
vis_force                                                                        : false            : sv, cheat                        : 
vismon_poll_frequency                                                            : 0.5              : sv, cheat                        : 
vismon_trace_limit                                                               : 12               : sv, cheat                        : 
vmix_input                                                                       : cmd              : cheat                            : Set an input mix value
vmix_output                                                                      : cmd              : cheat                            : Dump main graph control output values
voice_always_sample_mic                                                          : false            : a                                : For systems experiencing a hang/stall when using voice chat.
voice_loopback                                                                   : false            : user                             : 
voice_modenable                                                                  : true             : cl, a, release, clientcmd_can_execute : Enable/disable voice in this mod.
voice_modenable_toggle                                                           : cmd              : cl, release                      : Toggle the voice_modenable convar.
voice_player_speaking_delay_threshold                                            : 0.5              : sv, cheat                        : 
voice_test_log_send                                                              : false            : release                          : 
voice_threshold                                                                  : 4000             : cl, a                            : 
voice_vox                                                                        : 0                : cl, a, per_user                  : Voice chat uses a vox-style always on
volume                                                                           : 0.134001         : a                                : Sound volume
volume_fog_clipmap_update                                                        : 1                : cheat                            : 
volume_fog_clipmaps_enabled                                                      : false            : cheat                            : 
volume_fog_disable                                                               : false            : cheat                            : 
volume_fog_dither_scale                                                          : 3                : cheat                            : 
volume_fog_enable_jitter                                                         : true             : cheat                            : 
volume_fog_enable_stereo                                                         : true             : cheat                            : 
volume_fog_enlarge_frusta                                                        : 2                : cheat                            : 
volume_fog_show_volumes                                                          : false            : cheat                            : 
vphys2_friction_factor                                                           : 1                : cheat                            : Change global friction factor
vphys2_restitution_factor                                                        : 1                : cheat                            : Change global restitution factor
